id,name,type,path
1,DownloadFileDestination,Alias,Typealiases.html#/s:C9Alamofire7Request23DownloadFileDestination
2,Validation,Alias,Typealiases.html#/s:C9Alamofire7Request10Validation
3,serializeResponse,Property,Structs/GenericResponseSerializer.html#/s:vV9Alamofire25GenericResponseSerializer17serializeResponseFTGSqCSo12NSURLRequest_GSqCSo17NSHTTPURLResponse_GSqCSo6NSData__TGSqQ__GSqCSo7NSError__
4,SerializedObject,Alias,Structs/GenericResponseSerializer.html#/s:V9Alamofire25GenericResponseSerializer16SerializedObject
5,init(serializeResponse:),Method,Structs/GenericResponseSerializer.html#/s:FV9Alamofire25GenericResponseSerializercU__FMGS0_Q__FT17serializeResponseFTGSqCSo12NSURLRequest_GSqCSo17NSHTTPURLResponse_GSqCSo6NSData__TGSqQ__GSqCSo7NSError___GS0_Q__
6,GenericResponseSerializer,Struct,Structs/GenericResponseSerializer.html
7,URLRequest,Property,Protocols/URLRequestConvertible.html#/s:vP9Alamofire21URLRequestConvertible10URLRequestCSo12NSURLRequest
8,URLString,Property,Protocols/URLStringConvertible.html#/s:vP9Alamofire20URLStringConvertible9URLStringSS
9,serializeResponse,Property,Protocols/ResponseSerializer.html#/s:vP9Alamofire18ResponseSerializer17serializeResponseFTGSqCSo12NSURLRequest_GSqCSo17NSHTTPURLResponse_GSqCSo6NSData__TGSqQQPS0_16SerializedObject_GSqCSo7NSError__
10,SerializedObject,Alias,Protocols/ResponseSerializer.html#/s:P9Alamofire18ResponseSerializer16SerializedObject
11,ResponseSerializer,Protocol,Protocols/ResponseSerializer.html
12,URLStringConvertible,Protocol,Protocols/URLStringConvertible.html
13,URLRequestConvertible,Protocol,Protocols/URLRequestConvertible.html
14,request(_:_:parameters:encoding:headers:),Function,Functions.html#/s:F9Alamofire7requestFTOS_6MethodPS_20URLStringConvertible_10parametersGSqGVSs10DictionarySSPSs9AnyObject___8encodingOS_17ParameterEncoding7headersGSqGS2_SSSS___CS_7Request
15,request(_:),Function,Functions.html#/s:F9Alamofire7requestFPS_21URLRequestConvertible_CS_7Request
16,upload(_:_:headers:file:),Function,Functions.html#/s:F9Alamofire6uploadFTOS_6MethodPS_20URLStringConvertible_7headersGSqGVSs10DictionarySSSS__4fileCSo5NSURL_CS_7Request
17,upload(_:file:),Function,Functions.html#/s:F9Alamofire6uploadFTPS_21URLRequestConvertible_4fileCSo5NSURL_CS_7Request
18,upload(_:_:headers:data:),Function,Functions.html#/s:F9Alamofire6uploadFTOS_6MethodPS_20URLStringConvertible_7headersGSqGVSs10DictionarySSSS__4dataCSo6NSData_CS_7Request
19,upload(_:data:),Function,Functions.html#/s:F9Alamofire6uploadFTPS_21URLRequestConvertible_4dataCSo6NSData_CS_7Request
20,upload(_:_:headers:stream:),Function,Functions.html#/s:F9Alamofire6uploadFTOS_6MethodPS_20URLStringConvertible_7headersGSqGVSs10DictionarySSSS__6streamCSo13NSInputStream_CS_7Request
21,upload(_:stream:),Function,Functions.html#/s:F9Alamofire6uploadFTPS_21URLRequestConvertible_6streamCSo13NSInputStream_CS_7Request
22,upload(_:URLString:headers:multipartFormData:encodingMemoryThreshold:encodingCompletion:),Function,Functions.html#/s:F9Alamofire6uploadFTOS_6Method9URLStringPS_20URLStringConvertible_7headersGSqGVSs10DictionarySSSS__17multipartFormDataFCS_17MultipartFormDataT_23encodingMemoryThresholdVSs6UInt6418encodingCompletionGSqFOCS_7Manager31MultipartFormDataEncodingResultT___T_
23,upload(_:multipartFormData:encodingMemoryThreshold:encodingCompletion:),Function,Functions.html#/s:F9Alamofire6uploadFTPS_21URLRequestConvertible_17multipartFormDataFCS_17MultipartFormDataT_23encodingMemoryThresholdVSs6UInt6418encodingCompletionGSqFOCS_7Manager31MultipartFormDataEncodingResultT___T_
24,download(_:_:headers:destination:),Function,Functions.html#/s:F9Alamofire8downloadFTOS_6MethodPS_20URLStringConvertible_7headersGSqGVSs10DictionarySSSS__11destinationFTCSo5NSURLCSo17NSHTTPURLResponse_S3__CS_7Request
25,download(_:destination:),Function,Functions.html#/s:F9Alamofire8downloadFTPS_21URLRequestConvertible_11destinationFTCSo5NSURLCSo17NSHTTPURLResponse_S1__CS_7Request
26,download(resumeData:destination:),Function,Functions.html#/s:F9Alamofire8downloadFT10resumeDataCSo6NSData11destinationFTCSo5NSURLCSo17NSHTTPURLResponse_S1__CS_7Request
27,String,Extension,Extensions.html#/s:SS
28,NSURLRequest,Extension,Extensions.html#/c:objc(cs)NSURLRequest
29,certificatesInBundle(bundle:),Method,Enums/ServerTrustPolicy.html#/s:ZFO9Alamofire17ServerTrustPolicy20certificatesInBundleFMS0_FT6bundleCSo8NSBundle_GSaCSo14SecCertificate_
30,publicKeysInBundle(bundle:),Method,Enums/ServerTrustPolicy.html#/s:ZFO9Alamofire17ServerTrustPolicy18publicKeysInBundleFMS0_FT6bundleCSo8NSBundle_GSaCSo6SecKey_
31,evaluateServerTrust(_:isValidForHost:),Method,Enums/ServerTrustPolicy.html#/s:FO9Alamofire17ServerTrustPolicy19evaluateServerTrustFS0_FTCSo8SecTrust14isValidForHostSS_Sb
32,encode(_:parameters:),Method,Enums/ParameterEncoding.html#/s:FO9Alamofire17ParameterEncoding6encodeFS0_FTPS_21URLRequestConvertible_10parametersGSqGVSs10DictionarySSPSs9AnyObject____TCSo19NSMutableURLRequestGSqCSo7NSError__
33,URL,Element,Enums/ParameterEncoding.html#/s:FO9Alamofire17ParameterEncoding3URLFMS0_S0_
34,PropertyList,Element,Enums/ParameterEncoding.html#/s:FO9Alamofire17ParameterEncoding12PropertyListFMS0_FTOSC20NSPropertyListFormatSi_S0_
35,Custom,Element,Enums/ParameterEncoding.html#/s:FO9Alamofire17ParameterEncoding6CustomFMS0_FFTPS_21URLRequestConvertible_GSqGVSs10DictionarySSPSs9AnyObject____TCSo19NSMutableURLRequestGSqCSo7NSError__S0_
36,JSON,Element,Enums/ParameterEncoding.html#/s:FO9Alamofire17ParameterEncoding4JSONFMS0_S0_
37,Method,Enum,Enums.html#/s:O9Alamofire6Method
38,ParameterEncoding,Enum,Enums/ParameterEncoding.html
39,ServerTrustPolicy,Enum,Enums/ServerTrustPolicy.html
40,AlamofireErrorDomain,Global,"Global Variables.html#/s:v9Alamofire20AlamofireErrorDomainSS"
41,init(policies:),Method,Classes/ServerTrustPolicyManager.html#/s:FC9Alamofire24ServerTrustPolicyManagercFMS0_FT8policiesGVSs10DictionarySSOS_17ServerTrustPolicy__S0_
42,EncodingResult,Enum,Classes/MultipartFormData.html#/s:OC9Alamofire17MultipartFormData14EncodingResult
43,contentType,Property,Classes/MultipartFormData.html#/s:vC9Alamofire17MultipartFormData11contentTypeSS
44,contentLength,Property,Classes/MultipartFormData.html#/s:vC9Alamofire17MultipartFormData13contentLengthVSs6UInt64
45,boundary,Property,Classes/MultipartFormData.html#/s:vC9Alamofire17MultipartFormData8boundarySS
46,init(),Method,Classes/MultipartFormData.html#/s:FC9Alamofire17MultipartFormDatacFMS0_FT_S0_
47,appendBodyPart(data:name:),Method,Classes/MultipartFormData.html#/s:FC9Alamofire17MultipartFormData14appendBodyPartFS0_FT4dataCSo6NSData4nameSS_T_
48,appendBodyPart(data:name:mimeType:),Method,Classes/MultipartFormData.html#/s:FC9Alamofire17MultipartFormData14appendBodyPartFS0_FT4dataCSo6NSData4nameSS8mimeTypeSS_T_
49,appendBodyPart(data:name:fileName:mimeType:),Method,Classes/MultipartFormData.html#/s:FC9Alamofire17MultipartFormData14appendBodyPartFS0_FT4dataCSo6NSData4nameSS8fileNameSS8mimeTypeSS_T_
